local_time_s,0.00000,0.00334,0.00711,0.01135,0.01614,0.02154,0.02762,0.03449,0.04222,0.05095,0.06078,0.07187,0.08438,0.09847,0.11437,0.13229,0.15250,0.17528,0.20097,0.22993,0.26259,0.29940,0.34092,0.38772,0.44050,0.50000
1440.0,55.902,57.334,58.711,60.048,61.354,62.636,63.897,65.14,66.363,67.565,68.739,69.879,70.973,72.009,72.971,73.842,74.609,75.261,75.794,76.216,76.546,76.812,77.049,77.289,77.55,77.841
1500.0,55.897,57.326,58.701,60.035,61.34,62.62,63.88,65.122,66.346,67.547,68.722,69.862,70.958,71.995,72.958,73.831,74.6,75.254,75.789,76.213,76.544,76.812,77.05,77.29,77.551,77.842
1560.0,55.892,57.318,58.69,60.023,61.326,62.605,63.864,65.106,66.328,67.53,68.705,69.846,70.942,71.98,72.945,73.82,74.591,75.247,75.784,76.21,76.543,76.811,77.05,77.29,77.552,77.843
1620.0,55.887,57.311,58.681,60.011,61.312,62.59,63.848,65.089,66.311,67.513,68.688,69.83,70.927,71.966,72.932,73.809,74.582,75.24,75.779,76.207,76.541,76.811,77.051,77.291,77.552,77.843
1680.0,55.883,57.303,58.671,60.0,61.299,62.575,63.832,65.072,66.294,67.496,68.671,69.813,70.911,71.952,72.92,73.798,74.573,75.233,75.774,76.204,76.54,76.811,77.051,77.292,77.553,77.844
1740.0,55.879,57.297,58.662,59.988,61.285,62.56,63.816,65.055,66.277,67.479,68.655,69.797,70.896,71.938,72.907,73.787,74.564,75.226,75.769,76.201,76.538,76.81,77.051,77.292,77.554,77.845
1800.0,55.875,57.29,58.653,59.977,61.272,62.546,63.801,65.039,66.26,67.462,68.638,69.781,70.881,71.923,72.894,73.776,74.555,75.219,75.764,76.198,76.537,76.81,77.052,77.293,77.555,77.846
1860.0,55.871,57.283,58.644,59.966,61.259,62.531,63.785,65.023,66.243,67.445,68.621,69.765,70.865,71.909,72.881,73.765,74.546,75.212,75.759,76.194,76.535,76.81,77.052,77.294,77.556,77.847
1920.0,55.868,57.277,58.635,59.955,61.247,62.517,63.77,65.006,66.227,67.428,68.604,69.749,70.85,71.895,72.868,73.754,74.537,75.205,75.754,76.191,76.534,76.809,77.052,77.295,77.557,77.848
1980.0,55.865,57.271,58.627,59.944,61.234,62.503,63.754,64.99,66.21,67.411,68.588,69.733,70.835,71.881,72.856,73.743,74.528,75.198,75.749,76.188,76.532,76.809,77.053,77.295,77.557,77.849
